=== REPORTE DE ERRORES ORTOGRÁFICOS Y DE ACENTUACIÓN ===

1introduccion.tex:22 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: En el capítulo \ref{cap:alcance} se describe el alcance del sistema, presentando los usuarios y áreas involucradas, los requerimientos del usuario y la arquitectura general del sistema.
2ModeloDelAlcance.tex:229 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: únicamente a los usuarios autorizados de la fundación, cumpliendo con la normativa
2ModeloDelAlcance.tex:241 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \section{Usuarios identificados}
2ModeloDelAlcance.tex:245 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: A continuación se presentan los usuarios identificados que interactuarán directamente
2ModeloDelAlcance.tex:282 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \item[PR-02] \textbf{Gestión de usuarios y roles.} Proceso administrativo
2ModeloDelAlcance.tex:383 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: mediante correo electrónico y contraseña para acceder a las
2ModeloDelAlcance.tex:502 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: {Todos los domicilios capturados en el sistema (NNA, tutor, usuarios
3ModeloDelNegocio.tex:27 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \item Autorizar el alta y baja de usuarios en el sistema en colaboración
3ModeloDelNegocio.tex:53 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \item PR-02 Gestión de usuarios y roles.
3ModeloDelNegocio.tex:100 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \item PR-02 Gestión de usuarios y roles.
3ModeloDelNegocio.tex:340 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: Actúa como llave única para el registro de NNA y usuarios en
3ModeloDelNegocio.tex:400 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: tutores, usuarios y actores, garantizando la correcta asociación de
3ModeloDelNegocio.tex:423 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: con capacidad de gestionar usuarios, equipos y catálogos) y
3ModeloDelNegocio.tex:472 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{varchar(100)}{Descripción del tipo de lugar (urbano, rural, comunidad indígena, etc.).}{Sí}
3ModeloDelNegocio.tex:492 | Found: 'codigo' | Suggestion: 'código' | Context: \brAttr{codigo}{Código}{varchar(3)}{Código ISO 3166-1 alfa-3 de la nacionalidad. Ejemplo: MEX, USA, GTM.}{No}
3ModeloDelNegocio.tex:497 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{varchar(100)}{Descripción del estatus escolar del NNA (sin escolaridad, primaria, secundaria, bachillerato, etc.).}{Sí}
3ModeloDelNegocio.tex:519 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{text}{Descripción detallada del tratamiento médico, indicaciones y observaciones.}{No}
3ModeloDelNegocio.tex:530 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{varchar(100)}{Descripción del tipo de actor.}{No}
3ModeloDelNegocio.tex:536 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{varchar(255)}{Descripción de la categoría de servicio.}{No}
3ModeloDelNegocio.tex:545 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{text}{Descripción completa del derecho según la LGDNNA.}{No}
3ModeloDelNegocio.tex:550 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{varchar(100)}{Descripción del tipo de tutela (tutela legal, custodia, guardia y custodia provisional, etc.).}{Sí}
3ModeloDelNegocio.tex:586 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \begin{cdtEntidad}{Usuarios}{usuarios}
3ModeloDelNegocio.tex:586 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \begin{cdtEntidad}{Usuarios}{usuarios}
3ModeloDelNegocio.tex:596 | Found: 'Contraseña' | Suggestion: 'contraseña' | Context: \brAttr{password_hash}{Contraseña}{varchar(255)}{Hash seguro de la contraseña generado con bcrypt. No se almacena la contraseña en texto plano.}{Sí}
3ModeloDelNegocio.tex:596 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: \brAttr{password_hash}{Contraseña}{varchar(255)}{Hash seguro de la contraseña generado con bcrypt. No se almacena la contraseña en texto plano.}{Sí}
3ModeloDelNegocio.tex:596 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: \brAttr{password_hash}{Contraseña}{varchar(255)}{Hash seguro de la contraseña generado con bcrypt. No se almacena la contraseña en texto plano.}{Sí}
3ModeloDelNegocio.tex:603 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{Direcciones}{Un \hyperlink{Usuarios}{Usuario} tiene una \hyperlink{Direcciones}{Dirección}}
3ModeloDelNegocio.tex:604 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{CatRoles}{Un \hyperlink{Usuarios}{Usuario} tiene un \hyperlink{CatRoles}{Rol}}
3ModeloDelNegocio.tex:657 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{Usuarios}{Un \hyperlink{NNA}{NNA} es registrado por un \hyperlink{Usuarios}{Usuario}}
3ModeloDelNegocio.tex:657 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{Usuarios}{Un \hyperlink{NNA}{NNA} es registrado por un \hyperlink{Usuarios}{Usuario}}
3ModeloDelNegocio.tex:708 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{Usuarios}{Una \hyperlink{Valoraciones}{Valoración} es realizada por un \hyperlink{Usuarios}{Usuario}}
3ModeloDelNegocio.tex:708 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{Usuarios}{Una \hyperlink{Valoraciones}{Valoración} es realizada por un \hyperlink{Usuarios}{Usuario}}
3ModeloDelNegocio.tex:774 | Found: 'descripcion' | Suggestion: 'descripción' | Context: \brAttr{descripcion}{Descripción}{text}{Descripción del programa: objetivos, beneficiarios y alcance.}{No}
3ModeloDelNegocio.tex:846 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{Usuarios}{Un \hyperlink{IntegrantesEquipo}{Integrante} es un \hyperlink{Usuarios}{Usuario}}
3ModeloDelNegocio.tex:846 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \brRel{\brRelAgregation}{Usuarios}{Un \hyperlink{IntegrantesEquipo}{Integrante} es un \hyperlink{Usuarios}{Usuario}}
3-1-reglas.tex:50 | Found: 'numero' | Suggestion: 'número' | Context: \BRitem[Sentencia:] $\text{longitud}(nna.numero\_expediente) \in \{5, 6\} \land \text{esAlfabetico}(nna.numero\_expediente)$.
3-1-reglas.tex:50 | Found: 'numero' | Suggestion: 'número' | Context: \BRitem[Sentencia:] $\text{longitud}(nna.numero\_expediente) \in \{5, 6\} \land \text{esAlfabetico}(nna.numero\_expediente)$.
4ModeloDinamico.tex:13 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: a la gestión de usuarios y equipos multidisciplinarios, y la iteración 2,
4ModeloDinamico.tex:69 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: CU-03 & Recuperar contraseña      & Siguiente iteración \\
4ModeloDinamico.tex:71 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \multicolumn{3}{|c|}{\textbf{Módulo de Gestión de Usuarios}} \\
4ModeloDinamico.tex:168 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \Titem \hyperlink{Usuarios.correo}{Correo electrónico}.
4ModeloDinamico.tex:169 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \Titem \hyperlink{Usuarios.password_hash}{Contraseña}.
